Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European Equities"
"22 Feb 2023"
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;27,90;27,90;27,80;27,80;"20/02/2023 16:07";CET;102;2836,90
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;2,975;3,01;2,95;2,99;"21/02/2023 16:49";CET;4495;13353,19
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;2,48;2,49;2,44;2,45;"21/02/2023 17:18";CET;1918;4701,67
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;121,00;121,00;121,00;121,00;"21/02/2023 09:00";CET;25;3025,00
ACHETER-LOUER.FR;FR001400BJ77;ALALO;"Euronext Growth Paris";EUR;0,0554;0,0575;0,05;0,0519;"21/02/2023 17:35";CET;1829668;99160,10
"ACTIA GROUP";FR0000076655;ALATI;"Euronext Growth Paris";EUR;4,12;4,165;4,055;4,15;"21/02/2023 17:35";CET;9353;38534,61
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;9,70;9,70;9,50;9,70;"21/02/2023 15:21";CET;1246;11973,16
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;1,88;1,89;1,86;1,86;"21/02/2023 13:34";CET;647;1212,50
ADOMOS;FR0013247244;ALADO;"Euronext Growth Paris";EUR;0,0023;0,0023;0,0022;0,0022;"21/02/2023 16:53";CET;1665349;3733,02
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;2,24;2,24;2,19;2,20;"21/02/2023 15:39";CET;97877;215184,33
ADVICENNE;FR0013296746;ALDVI;"Euronext Growth Paris";EUR;4,00;4,05;3,84;3,85;"21/02/2023 17:35";CET;9095;36036,34
AFYREN;FR0014005AC9;ALAFY;"Euronext Growth Paris";EUR;6,02;6,20;5,99;6,11;"21/02/2023 17:10";CET;2234;13613,83
AGRIPOWER;FR0013452281;ALAGP;"Euronext Growth Paris";EUR;8,20;8,24;8,20;8,22;"21/02/2023 16:38";CET;1515;12431,08
AGROGENERATION;FR0010641449;ALAGR;"Euronext Growth Paris";EUR;0,071;0,0711;0,0671;0,0671;"21/02/2023 17:12";CET;96123;6812,13
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;7,46;7,46;7,44;7,44;"21/02/2023 15:18";CET;1581;11772,64
ALCHIMIE;FR0014000JX7;ALCHI;"Euronext Growth Paris";EUR;2,29;2,29;2,23;2,23;"21/02/2023 17:06";CET;820;1841,80
ALGREEN;FR0011668821;ALGRE;"Euronext Growth Paris";EUR;0,05;0,0505;0,048;0,05;"21/02/2023 17:17";CET;349551;17013,48
"ALPHA MOS";FR0013421286;ALNEO;"Euronext Growth Paris";EUR;2,115;2,17;2,05;2,08;"21/02/2023 17:15";CET;4482;9393,64
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;19,00;19,15;18,50;19,00;"21/02/2023 16:17";CET;9019;167503,50
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;1,115;1,115;1,055;1,08;"21/02/2023 17:12";CET;8820;9549,64
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;0,475;0,50;0,46;0,50;"21/02/2023 17:35";CET;10819;5100,35
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;0,723;0,73;0,712;0,714;"21/02/2023 17:35";CET;125583;90348,25
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;38,70;38,80;38,50;38,80;"21/02/2023 16:07";CET;4212;162829,00
AQUILA;FR0010340711;ALAQU;"Euronext Growth Paris";EUR;5,75;5,75;5,75;5,75;"15/02/2023 11:30";CET;75;431,25
ARCHOS;FR0014007XT1;ALJXR;"Euronext Growth Paris";EUR;0,05;0,0556;0,0492;0,0504;"21/02/2023 17:35";CET;4569143;236721,25
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;14,65;14,65;14,00;14,00;"21/02/2023 16:16";CET;1517;21368,00
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;103,50;103,50;103,50;103,50;"20/02/2023 09:00";CET;176;18216,00
