date,SMB,HML,PR1YR,UMD
19810228,0.207715,0.150642,,
19810331,0.084014,0.047482,,
19810430,0.116179,0.102302,,
19810531,-0.024163,-0.026211,,
19810630,0.008331,0.083538,,
19810701,-0.011034,0.008868,,
19810702,0.004744,0.019683,,
19810703,0.040659,-0.005706,,
19810706,-0.003271,-0.012082,,
19810707,0.006242,0.013784,,
19810708,0.004877,0.010373,,
19810709,-0.008517,-0.013849,,
19810710,-0.026782,0.016953,,
19810713,0.002381,-0.000472,,
19810714,0.008816,-0.015979,,
19810715,0.020993,-0.033366,,
19810716,0.000339,-0.012267,,
19810717,0.023590,-0.033219,,
19810720,0.014440,-0.023707,,
19810721,-0.012302,0.004007,,
19810722,-0.002145,0.010824,,
19810723,-0.017970,0.004614,,
19810724,-0.023790,-0.036620,,
19810727,-0.018689,0.000867,,
19810728,-0.006012,0.040683,,
19810729,-0.017416,0.001485,,
19810730,0.019036,-0.024974,,
19810731,-0.012292,0.007649,0.010545,0.001274
19810803,0.021921,-0.021487,,
19810804,0.000247,-0.002561,,
19810805,-0.001274,-0.019112,,
19810806,-0.024532,0.005342,,
19810807,-0.003180,0.013871,,
19810810,0.012211,0.013176,,
19810811,0.009940,0.001735,,
19810812,0.007114,0.005567,,
19810813,-0.012969,-0.001383,,
19810814,0.000322,-0.017595,,
19810817,0.002603,0.010188,,
19810818,0.067345,0.062629,,
19810819,-0.037693,-0.041186,,
19810820,-0.009082,0.004593,,
19810821,0.008233,-0.006937,,
19810824,0.041252,0.075075,,
19810825,-0.025328,-0.072062,,
19810826,0.008010,-0.028414,,
19810827,-0.009621,0.015055,,
19810828,0.004760,0.009844,,
19810831,0.006234,-0.007669,0.050728,0.008978
19810901,-0.008421,0.016709,,
19810902,-0.000519,-0.000388,,
19810903,0.005560,0.000276,,
19810904,-0.013669,0.024254,,
19810907,-0.010124,0.031720,,
19810908,0.002506,-0.006097,,
19810909,-0.002789,-0.003145,,
19810910,0.030980,-0.046678,,
19810911,0.006362,0.005713,,
19810914,0.004583,-0.040080,,
19810915,-0.004110,0.003267,,
19810916,-0.001504,0.020894,,
19810917,0.002549,-0.001011,,
19810918,0.011296,-0.018646,,
19810921,-0.002531,0.022660,,
19810922,-0.011053,0.016675,,
19810923,0.009980,0.014291,,
19810924,0.024522,-0.030953,,
19810925,0.026281,-0.002967,,
19810928,0.009656,0.007664,,
19810929,-0.055756,0.051265,,
19810930,0.003331,0.000298,-0.024106,-0.003673
19811001,0.007635,0.019023,,
19811002,-0.005467,-0.046308,,
19811005,0.033041,-0.058198,,
19811006,0.038074,-0.016130,,
19811007,-0.020200,-0.006152,,
19811008,-0.000693,-0.025362,,
19811009,0.000690,0.006762,,
19811012,0.015490,-0.008458,,
19811013,0.007190,-0.007752,,
19811014,0.004976,0.009246,,
19811015,0.013725,-0.004646,,
19811016,-0.006101,0.000205,,
19811019,-0.002657,0.009441,,
19811020,-0.013616,0.004200,,
19811021,-0.010756,0.012027,,
19811022,-0.032414,0.038983,,
19811023,0.004557,-0.012852,,
