date,rf(1d)
1979-12-31,0.0003928
1980-01-31,0.0003968
1980-02-29,0.0003944
1980-03-31,0.0003972
1980-04-30,0.0004004
1980-05-31,0.0003976
1980-06-30,0.0004016
1980-07-31,0.0003984
1980-08-31,0.0004116
1980-09-30,0.0004156
1980-10-31,0.0003924
1980-11-30,0.0003964
1980-12-31,0.0004012
1981-01-31,0.0004204
1981-02-28,0.0004272
1981-03-31,0.0004312
1981-04-30,0.0004348
1981-05-31,0.00046
1981-06-30,0.0004764
1981-07-31,0.0004828
1981-08-31,0.0004876
1981-09-30,0.0004956
1981-10-31,0.0004964
1981-11-30,0.000498
1981-12-31,0.0004864
1982-01-31,0.0005152
1982-02-28,0.0005244
1982-03-31,0.0005168
1982-04-30,0.0005252
1982-05-31,0.0005332
1982-06-30,0.0005364
1982-07-31,0.000544
1982-08-31,0.0005508
1982-09-30,0.0005456
1982-10-31,0.0005692
1982-11-30,0.0005432
1982-12-14,0.000388
1982-12-16,0.000376
1982-12-22,0.00042
1982-12-23,0.000408
1982-12-27,0.000536
1982-12-28,0.000392
1982-12-29,0.00042
1982-12-30,0.000508
1983-01-03,0.000636
1983-01-04,0.000608
1983-01-05,0.000596
1983-01-06,0.000564
1983-01-07,0.000564
1983-01-10,0.000552
1983-01-11,0.000568
1983-01-12,0.000572
1983-01-14,0.000544
1983-01-17,0.000556
1983-01-18,0.000556
1983-01-19,0.000532
1983-01-21,0.000428
1983-01-24,0.000392
1983-01-25,0.000392
1983-01-26,0.000404
1983-01-27,0.00044
1983-01-28,0.000444
1983-01-31,0.000524
1983-02-01,0.000488
1983-02-02,0.000488
1983-02-03,0.000484
1983-02-04,0.000504
1983-02-07,0.000524
1983-02-08,0.000504
1983-02-09,0.000524
1983-02-10,0.000516
1983-02-11,0.00052
1983-02-14,0.000504
1983-02-15,0.000484
1983-02-16,0.000472
1983-02-17,0.000412
1983-02-21,0.000408
1983-02-22,0.000388
1983-02-23,0.000404
1983-02-24,0.00044
1983-02-25,0.0004
1983-02-28,0.0006
1983-03-01,0.000588
1983-03-02,0.000588
1983-03-03,0.000572
1983-03-04,0.000624
1983-03-07,0.000628
1983-03-08,0.000536
1983-03-09,0.000516
1983-03-10,0.000484
1983-03-11,0.000504
